,name,numberOfDocumentedOperations,numberOfOperationsWhichRequireAuthorization,numberOfOperationsWithExceptions,numberOfOperationsWithTestedErrorStatusCode,numberOfOperationsWithTestedFailureStatusCode,numberOfOperationsWithTestedSuccessfulStatusCode,numberOfOperationsWithValidationErrors,numberOfProcessedOperations,successfulOperationsRatio
4,googleapis.com:androiddeviceprovisioning,23,10,4,0,14,0,23,23,0.0
5,surrey.ca:open511,4,0,2,0,2,2,2,4,50.0
6,ip2location.com:geolocation,1,0,1,0,0,1,0,1,100.0
8,walmart.com:inventory,4,2,4,0,0,0,0,4,0.0
11,hhs.gov,32,0,3,0,10,29,32,32,90.625
12,gov.bc.ca:bcgnws,14,0,14,0,1,13,0,14,92.85714285714286
13,healthcare.gov,16,0,10,0,10,8,8,16,50.0
15,bclaws.ca:bclaws,7,0,7,0,0,7,0,7,100.0
16,postmarkapp.com:server,49,48,1,0,0,0,48,49,0.0
17,moonmoonmoonmoon.com,2,0,2,0,0,2,0,2,100.0
18,jumpseller.com,102,101,0,0,1,0,102,102,0.0
19,keyserv.solutions,13,0,0,0,10,0,13,13,0.0
20,europeana.eu,13,5,12,1,7,1,2,13,7.6923076923076925
22,greenpeace.org,6,0,0,0,0,6,0,6,100.0
23,azure.com:powerbiembedded,12,1,2,0,9,0,10,12,0.0
25,epa.gov:dfr,74,0,5,0,37,37,74,74,50.0
26,mailboxvalidator.com:disposable,1,0,0,0,0,1,1,1,100.0
28,ip2proxy.com,1,0,0,0,0,1,1,1,100.0
30,bikewise.org,4,0,4,0,0,4,0,4,100.0
34,posty-api.herokuapp.com,28,0,1,7,21,1,27,28,3.571428571428571
35,slideroom.com,11,9,2,0,0,0,9,11,0.0
37,miataru.com,5,0,0,0,0,5,5,5,100.0
39,collegefootballdata.com,14,0,1,0,0,14,14,14,100.0
41,microsoft.com:cognitiveservices-Training,34,31,2,0,1,0,31,34,0.0
44,o2.cz:mobility,2,0,0,0,1,1,1,2,50.0
45,gov.bc.ca:open511,4,0,4,1,0,4,1,4,100.0
46,bhagavadgita.io,6,5,5,0,1,0,1,6,0.0
50,walmart.com:order,9,6,9,3,0,0,0,9,0.0
51,gsa.gov,5,0,1,0,2,3,2,5,60.0
52,osisoft.com,345,333,12,0,0,0,333,345,0.0
53,nsidc.org,4,0,3,0,0,4,4,4,100.0
54,languagetool.org,2,0,0,0,1,1,1,2,50.0
57,mandrillapp.com,90,0,0,90,0,0,90,90,0.0
60,oceandrivers.com,10,0,6,2,2,4,4,10,40.0
62,dweet.io,13,0,12,0,0,12,0,13,92.3076923076923
63,walmart.com:item,6,4,6,0,0,0,0,6,0.0
65,o2.cz:sociodemo,3,0,0,0,2,1,0,3,33.33333333333333
69,refugerestrooms.org,4,0,3,1,0,3,1,4,75.0
70,googleapis.com:chat,6,1,0,0,5,0,6,6,0.0
71,payrun.io,296,295,0,0,0,1,0,296,0.33783783783783783
73,sheetlabs.com:rig-veda,7,0,7,0,0,7,0,7,100.0
74,azure.com:cognitiveservices,9,0,2,0,7,0,0,9,0.0
76,ritekit.com,13,12,1,0,0,1,12,13,7.6923076923076925
77,surrey.ca:trafficloops,2,0,1,0,1,1,1,2,50.0
78,exavault.com,35,0,0,0,0,35,35,35,100.0
79,reloadly.com,14,12,0,0,2,0,14,14,0.0
80,swagger.io:generator,7,0,2,1,0,4,5,7,57.14285714285714
81,openapi-converter.herokuapp.com,6,0,2,6,0,0,6,6,0.0
84,googleapis.com:safebrowsing,7,6,2,0,6,2,6,7,28.57142857142857
86,afterbanks.com,3,0,1,0,2,1,1,3,33.33333333333333
87,flickr.com,25,0,23,0,2,22,2,25,88.0
89,icons8.com,8,0,0,1,7,0,8,8,0.0
91,deutschebahn.com:fahrplan,4,0,0,4,0,0,4,4,0.0
92,waag.org,47,3,8,5,28,10,46,47,21.27659574468085
93,infermedica.com,16,12,4,0,0,0,12,16,0.0
94,fraudlabspro.com:fraud-detection,2,0,2,0,0,2,0,2,100.0
96,apis.guru,2,0,0,0,0,2,2,2,100.0
97,nativeads.com,4,0,0,0,0,4,4,4,100.0
98,versioneye.com,46,0,2,0,44,0,44,46,0.0
100,cnab-online.herokuapp.com,4,0,1,0,3,0,3,4,0.0
101,sheetlabs.com:vedic-society,4,0,4,0,0,4,0,4,100.0
102,nebl.io,49,0,2,10,24,19,47,49,38.775510204081634
104,hackathonwatch.com,4,0,2,0,2,2,2,4,50.0
106,bbc.co.uk,75,22,8,3,50,14,69,75,18.666666666666668
109,gov.bc.ca:news,27,0,9,1,6,22,26,27,81.48148148148148
111,vocadb.net,117,51,3,2,12,60,116,117,51.28205128205128
112,datumbox.com,14,0,14,0,0,14,0,14,100.0
120,naviplancentral.com:factfinder,129,95,105,0,25,22,37,129,17.05426356589147
121,hillbillysoftware.com:shinobi,58,55,0,2,1,0,58,58,0.0
124,mailboxvalidator.com:checker,1,0,0,0,0,1,1,1,100.0
127,xkcd.com,2,0,0,0,1,1,2,2,50.0
129,moderatecontent.com,1,0,1,0,0,1,0,1,100.0
134,mailboxvalidator.com:validation,1,0,0,0,0,1,1,1,100.0
135,fraudlabspro.com:sms-verification,2,0,1,0,0,2,2,2,100.0
136,aucklandmuseum.com,6,3,1,0,0,1,5,6,16.666666666666664
137,openalpr.com,4,2,1,0,2,1,0,4,25.0
140,magento.com,355,201,310,0,0,154,154,355,43.38028169014084
141,walmart.com:price,2,1,2,0,0,0,0,2,0.0
144,opentargets.io,29,0,9,9,13,7,22,29,24.137931034482758
146,dataatwork.org,13,0,0,1,4,9,13,13,69.23076923076923
147,beanstream.com,15,8,0,0,7,0,15,15,0.0
148,spectrocoin.com,1,0,0,0,0,1,1,1,100.0
150,handwrytten.com,30,14,2,0,9,10,28,30,33.33333333333333
151,cybertaxonomy.eu,2,0,0,0,1,1,1,2,50.0
152,getthedata.com:bng2latlong,1,0,0,0,0,1,0,1,100.0
154,weber-gesamtausgabe.de,6,0,0,0,1,6,6,6,100.0
157,osf.io,128,28,2,1,38,14,76,76,10.9375
